field,src,dst,p_src,p_dst,proto,attack,length [packet],length [bit]
ID,100.163.44.160,203.139.113.8,62112,80,6,"http://113.90.177.68:42614/i
",15,232
ID,103.110.204.140,163.62.129.254,8889,63745,6,"http://124.165.140.229:33353/mozi.a
",18,288
ID,104.181.186.247,163.62.129.176,443,41656,6,"http://163.125.247.61:47975/mozi.a
",18,280
ID,104.236.216.150,163.62.107.170,443,53010,6,"http://95.6.85.38:46635/Mozi.m
",16,248
ID,104.239.219.182,203.139.113.57,443,5434,6,"http://58.252.203.238:50998/Mozi.m
",18,280
ID,107.14.191.181,203.139.123.144,443,51746,6,"http://59.97.171.242:56761/Mozi.a
",17,272
ID,109.196.225.86,203.139.121.234,52816,30303,6,"http://58.255.209.237:33368/Mozi.m
",18,280
ID,109.58.252.70,203.139.121.234,30303,36694,6,"http://27.40.120.116:41865/Mozi.a
",17,272
ID,110.191.2.109,163.62.126.162,443,63012,6,"http://221.214.193.196:55705/Mozi.a
",18,288
ID,116.58.147.90,203.139.121.234,44410,30303,6,"http://27.40.100.150:59537/Mozi.a
",17,272
ID,117.234.88.39,163.62.71.17,443,61585,6,"http://27.46.47.108:54317/Mozi.m
",17,264
ID,121.20.245.187,163.62.38.66,443,63008,6,"http://123.17.231.240:50050/mozi.a
",18,280
ID,118.25.111.40,203.139.125.209,39684,22,6,"http://123.11.12.152:60800/i
",15,232
ID,126.158.59.126,163.62.231.119,12370,993,6,"http://186.33.90.114:36680/Mozi.m
",17,272
ID,13.17.177.164,163.62.199.62,443,51219,6,"http://182.124.150.105:44129/Mozi.m
",18,288
ID,126.213.33.5,163.62.231.119,25616,993,6,"http://182.121.23.57:43309/Mozi.m
",17,272
ID,13.5.165.135,203.139.121.234,30303,59386,6,"http://123.9.112.149:51478/Mozi.m
",17,272
ID,130.85.161.127,203.139.121.234,30303,50356,6,"http://116.75.231.154:60170/Mozi.m
",18,280
ID,131.14.193.252,185.235.186.217,25,60273,6,"http://125.44.205.29:34361/Mozi.m
",17,272
ID,132.105.75.173,163.62.227.184,37266,80,6,"http://125.41.102.132:42050/Mozi.m
",18,280
ID,133.16.198.53,60.214.206.106,23,42949,6,"http://163.142.102.189:59369/mozi.a
",18,288
ID,133.16.18.109,58.213.138.175,22,2279,6,"http://27.40.86.89:45539/mozi.a
",16,256
ID,133.16.198.53,60.214.206.106,23,43295,6,"http://113.161.208.9:43942/Mozi.m
",17,272
ID,133.4.100.65,34.253.94.254,58741,443,6,"http://115.62.26.49:55032/bin.sh
",17,264
ID,125.185.73.251,202.249.31.37,43148,22,6,"http://45.201.167.132:56767/i
",15,240
ID,133.4.101.165,54.156.209.62,48196,443,6,"http://113.88.243.22:43379/i
",15,232
ID,133.4.101.166,35.168.18.86,39274,443,6,"http://117.213.47.205:51041/i
",15,240
ID,133.4.101.167,54.221.194.13,41038,443,6,"http://117.194.164.17:36648/i
",15,240
ID,133.4.101.171,54.224.71.108,46584,443,6,"http://27.6.243.92:56692/mozi.m
",16,256
ID,133.4.84.228,3.192.64.103,46154,443,6,"http://brsbnp.com/eosmaxime/distinctionatus-5065788
",26,416
ID,133.4.245.100,185.63.48.170,993,40534,6,"http://kiuso.biz/nonquos/liberoimpedit-3863470
",24,376
ID,133.4.179.150,185.129.212.20,443,54522,6,"http://220.114.25.101:40724/mozi.m
",18,280
ID,133.4.179.116,61.171.226.100,22,28387,6,"http://27.21.147.209:42069/Mozi.a
",17,272
ID,133.4.84.228,3.192.64.103,46172,443,6,"http://difi.in/pariaturlaboriosam/omnissimilique-5138013
",29,456
ID,133.4.187.247,38.186.29.136,58215,80,6,"http://42.230.25.201:44340/Mozi.m
",17,272
ID,133.4.245.100,220.141.31.126,993,25247,6,"http://brsbnp.com/eosmaxime/nemoesse-5147662
",23,360
ID,133.4.187.247,44.15.212.154,31655,443,6,"http://42.228.77.227:35231/Mozi.a
",17,272
ID,133.4.84.228,54.86.226.217,47052,443,6,"http://ctic.icagi.sn/quiaofficia/enimnemo-5126859
",25,400
ID,133.4.84.228,54.86.226.217,47066,443,6,"http://ctic.icagi.sn/quiaofficia/necessitatibusvoluptatibus-5158313
",34,544
ID,133.4.85.105,3.192.64.103,58396,443,6,"http://ctic.icagi.sn/quiaofficia/dolorvoluptatem-5138060
",29,456
ID,133.4.85.105,3.192.64.103,58400,443,6,"http://difi.in/pariaturlaboriosam/consequaturnon-5138060
",29,456
ID,133.4.85.105,3.192.64.103,58420,443,6,"http://difi.in/pariaturlaboriosam/natusiste-5230868
",26,416
ID,133.4.85.105,54.86.226.217,54836,443,6,"http://difi.in/pariaturlaboriosam/quaeaut-5163372
",25,400
ID,133.4.85.105,54.86.226.217,54860,443,6,"http://adoxarabia.com/rerumvero/quaeratet-5203462
",25,400
ID,133.4.85.87,3.192.64.103,42020,443,6,"http://brsbnp.com/eosmaxime/suscipitvoluptatibus-5163376
",29,456
ID,133.4.85.87,54.86.226.217,55242,443,6,"http://ctic.icagi.sn/quiaofficia/temporeminus-5322375
",27,432
ID,133.40.128.205,13.154.24.118,56919,443,6,"http://difi.in/pariaturlaboriosam/nemoblanditiis-5163374
",29,456
ID,133.40.17.88,13.154.248.81,51720,80,6,"http://adoxarabia.com/rerumvero/quaedoloribus-4563099
",27,432
ID,133.40.17.88,13.154.248.81,51740,80,6,"http://difi.in/pariaturlaboriosam/quiaveniam-5126859
",27,424
ID,135.177.15.99,203.139.121.234,30303,49024,6,"http://brsbnp.com/eosmaxime/estea-5059863
",21,336
ID,135.177.98.249,203.139.121.234,50322,30303,6,"http://adoxarabia.com/rerumvero/voluptassit-5163679
",26,416
ID,138.164.245.77,203.139.121.234,56993,30303,6,"http://adoxarabia.com/rerumvero/nonesse-5203460
",24,384
ID,139.196.243.33,203.139.121.234,44750,30303,6,"http://ctic.icagi.sn/quiaofficia/consequunturet-5005168
",28,448
ID,144.196.129.176,203.139.121.234,41568,30303,6,"http://adoxarabia.com/rerumvero/esttenetur-5159952
",26,408
ID,145.225.239.255,203.139.121.234,56944,30303,6,"http://difi.in/pariaturlaboriosam/sintquod-5141028
",26,408
ID,133.4.244.57,5.183.64.13,587,53196,6,"http://42.233.156.115:36055/Mozi.m
",18,280
ID,149.68.91.28,163.62.80.93,443,49566,6,"http://brsbnp.com/eosmaxime/expeditaullam-5177555
",25,400
ID,150.110.154.89,203.139.121.234,60830,30303,6,"http://ctic.icagi.sn/quiaofficia/omnisquis-4614002
",26,408
ID,151.146.157.70,163.62.128.112,443,4201,6,"http://adoxarabia.com/rerumvero/rerumdistinctio-4762260
",28,448
ID,157.236.202.192,203.139.121.234,30303,49428,6,"http://adoxarabia.com/rerumvero/placeatsunt-4566633
",26,416
ID,162.98.99.11,163.62.83.25,443,63494,6,"http://ctic.icagi.sn/quiaofficia/exercitationemmolestias-5163373
",33,520
