field,src,dst,p_src,p_dst,proto,attack,length [packet],length [bit]
TOS,100.163.44.160,203.139.113.8,62112,80,6,"http://113.90.177.68:42614/i
",29,232
TOS,103.110.204.140,163.62.129.254,8889,63745,6,"http://124.165.140.229:33353/mozi.a
",36,288
TOS,104.239.219.182,203.139.113.57,443,5434,6,"http://163.125.247.61:47975/mozi.a
",35,280
TOS,104.181.186.247,163.62.129.176,443,41656,6,"http://95.6.85.38:46635/Mozi.m
",31,248
TOS,107.14.191.181,203.139.123.144,443,51746,6,"http://58.252.203.238:50998/Mozi.m
",35,280
TOS,109.196.225.86,203.139.121.234,52816,30303,6,"http://59.97.171.242:56761/Mozi.a
",34,272
TOS,109.58.252.70,203.139.121.234,30303,36694,6,"http://58.255.209.237:33368/Mozi.m
",35,280
TOS,110.191.2.109,163.62.126.162,443,63012,6,"http://27.40.120.116:41865/Mozi.a
",34,272
TOS,116.58.147.90,203.139.121.234,44410,30303,6,"http://221.214.193.196:55705/Mozi.a
",36,288
TOS,117.234.88.39,163.62.71.17,443,61585,6,"http://27.40.100.150:59537/Mozi.a
",34,272
TOS,121.20.245.187,163.62.38.66,443,63008,6,"http://27.46.47.108:54317/Mozi.m
",33,264
TOS,13.17.177.164,163.62.199.62,443,51219,6,"http://123.17.231.240:50050/mozi.a
",35,280
TOS,13.5.165.135,203.139.121.234,30303,59386,6,"http://123.11.12.152:60800/i
",29,232
TOS,130.85.161.127,203.139.121.234,30303,50356,6,"http://186.33.90.114:36680/Mozi.m
",34,272
TOS,133.16.198.53,60.214.206.106,23,43295,6,"http://182.124.150.105:44129/Mozi.m
",36,288
TOS,133.4.101.165,54.156.209.62,48196,443,6,"http://182.121.23.57:43309/Mozi.m
",34,272
TOS,133.4.101.166,35.168.18.86,39274,443,6,"http://123.9.112.149:51478/Mozi.m
",34,272
TOS,133.4.101.167,54.221.194.13,41038,443,6,"http://116.75.231.154:60170/Mozi.m
",35,280
TOS,133.4.101.171,54.224.71.108,46584,443,6,"http://125.44.205.29:34361/Mozi.m
",34,272
TOS,133.4.84.228,3.192.64.103,46154,443,6,"http://125.41.102.132:42050/Mozi.m
",35,280
TOS,133.4.84.228,3.192.64.103,46172,443,6,"http://163.142.102.189:59369/mozi.a
",36,288
TOS,133.4.84.228,54.86.226.217,47052,443,6,"http://27.40.86.89:45539/mozi.a
",32,256
TOS,133.4.84.228,54.86.226.217,47066,443,6,"http://113.161.208.9:43942/Mozi.m
",34,272
TOS,133.4.85.105,3.192.64.103,58396,443,6,"http://115.62.26.49:55032/bin.sh
",33,264
TOS,133.4.85.105,3.192.64.103,58400,443,6,"http://45.201.167.132:56767/i
",30,240
